epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3277.97,1.39739,0.94772,1.30342,0.87637,0.74271,0.85978,0.50201,1.48342,0.86014,1.48009,0.0011882,0.0011882,0.0011882
43,3355.39,1.39105,0.94974,1.30475,0.85762,0.7643,0.86047,0.51766,1.45026,0.82632,1.46283,0.0011684,0.0011684,0.0011684
44,3432.91,1.3865,0.92565,1.29589,0.8455,0.77648,0.85302,0.50518,1.46626,0.87659,1.45212,0.0011486,0.0011486,0.0011486
45,3509.97,1.38701,0.91753,1.28811,0.88422,0.77998,0.86723,0.50818,1.47147,0.83797,1.47163,0.0011288,0.0011288,0.0011288
46,3586.73,1.37248,0.9106,1.28028,0.86427,0.79162,0.86192,0.51164,1.43193,0.81584,1.45107,0.001109,0.001109,0.001109
47,3665.28,1.37026,0.89237,1.28096,0.87577,0.77961,0.85881,0.51267,1.44008,0.83538,1.4455,0.0010892,0.0010892,0.0010892
48,3743.89,1.35397,0.8892,1.27277,0.84733,0.79511,0.86183,0.51153,1.45152,0.80921,1.45536,0.0010694,0.0010694,0.0010694
49,3822.8,1.35586,0.87793,1.26598,0.86572,0.77183,0.85749,0.5086,1.44948,0.82991,1.45267,0.0010496,0.0010496,0.0010496
50,3902.34,1.34886,0.88057,1.27066,0.89105,0.79627,0.87884,0.51731,1.45433,0.79637,1.47383,0.0010298,0.0010298,0.0010298
51,3983.27,1.34992,0.88008,1.26659,0.88449,0.79278,0.877,0.52512,1.44037,0.78779,1.46201,0.00101,0.00101,0.00101
52,4062.05,1.3351,0.86639,1.25212,0.87726,0.82305,0.87889,0.52395,1.43185,0.79282,1.45727,0.0009902,0.0009902,0.0009902
53,4139.62,1.32707,0.86039,1.25429,0.88547,0.78307,0.86342,0.51132,1.46212,0.80017,1.48399,0.0009704,0.0009704,0.0009704
54,4217.23,1.3142,0.84313,1.24375,0.88153,0.78463,0.86442,0.52394,1.43787,0.78648,1.46425,0.0009506,0.0009506,0.0009506
55,4294.37,1.30681,0.84242,1.24222,0.87791,0.80442,0.87028,0.51748,1.44042,0.78149,1.44697,0.0009308,0.0009308,0.0009308
56,4371.55,1.31872,0.83725,1.24501,0.86421,0.8021,0.87175,0.51522,1.41911,0.77829,1.44374,0.000911,0.000911,0.000911
57,4449.24,1.29235,0.83476,1.22879,0.89322,0.79744,0.87819,0.53336,1.40294,0.77294,1.43012,0.0008912,0.0008912,0.0008912
58,4526.56,1.2873,0.81075,1.22668,0.90202,0.79162,0.87609,0.52917,1.39718,0.76805,1.42948,0.0008714,0.0008714,0.0008714
59,4604.92,1.28823,0.81752,1.22637,0.87728,0.82385,0.87887,0.53347,1.41886,0.77725,1.4292,0.0008516,0.0008516,0.0008516
60,4683.88,1.27173,0.78562,1.21346,0.89242,0.79744,0.8871,0.53201,1.40222,0.77348,1.41204,0.0008318,0.0008318,0.0008318
61,4762.22,1.2692,0.78776,1.21536,0.86221,0.81607,0.87314,0.52969,1.40991,0.76586,1.43628,0.000812,0.000812,0.000812
62,4840.38,1.25263,0.78398,1.2144,0.86186,0.81344,0.86745,0.52211,1.41703,0.79276,1.43416,0.0007922,0.0007922,0.0007922
63,4918.37,1.24635,0.77265,1.20087,0.89294,0.83586,0.88287,0.5333,1.40389,0.75175,1.42544,0.0007724,0.0007724,0.0007724
64,4995.25,1.25261,0.77715,1.2096,0.89157,0.82324,0.88386,0.53658,1.4117,0.74358,1.43187,0.0007526,0.0007526,0.0007526
65,5073.58,1.23191,0.76269,1.19084,0.86417,0.83236,0.88246,0.53881,1.38769,0.75965,1.41202,0.0007328,0.0007328,0.0007328
66,5152.68,1.2465,0.75853,1.20121,0.85717,0.82538,0.87393,0.53438,1.39774,0.74189,1.41125,0.000713,0.000713,0.000713
67,5232.8,1.23548,0.74587,1.18956,0.88947,0.79626,0.87163,0.53156,1.39403,0.76018,1.42035,0.0006932,0.0006932,0.0006932
68,5312.03,1.2235,0.75027,1.18925,0.87914,0.81296,0.87676,0.53501,1.39539,0.76205,1.41892,0.0006734,0.0006734,0.0006734
69,5391.65,1.21871,0.74294,1.18398,0.87502,0.81024,0.87093,0.53905,1.39172,0.74905,1.4128,0.0006536,0.0006536,0.0006536
70,5471.52,1.21724,0.73627,1.17939,0.86968,0.83469,0.87797,0.53911,1.39244,0.73336,1.42701,0.0006338,0.0006338,0.0006338
71,5551.51,1.21115,0.7292,1.1815,0.87966,0.81839,0.8771,0.5408,1.38152,0.74624,1.40319,0.000614,0.000614,0.000614
72,5629.1,1.21123,0.72534,1.17977,0.88904,0.83944,0.88391,0.53928,1.38771,0.75191,1.415,0.0005942,0.0005942,0.0005942
73,5706.99,1.19136,0.7065,1.16962,0.89098,0.8372,0.89177,0.54196,1.40626,0.72765,1.43587,0.0005744,0.0005744,0.0005744
74,5785.38,1.18562,0.70584,1.16422,0.8727,0.82204,0.8828,0.54594,1.37644,0.72946,1.41371,0.0005546,0.0005546,0.0005546
75,5865.45,1.18264,0.70298,1.16486,0.88549,0.83702,0.88285,0.53741,1.40303,0.74787,1.4376,0.0005348,0.0005348,0.0005348
76,5943.9,1.1813,0.70399,1.16521,0.88497,0.85083,0.88841,0.54026,1.40267,0.72315,1.42554,0.000515,0.000515,0.000515
77,6022.33,1.17523,0.69853,1.15637,0.89901,0.79799,0.88686,0.53843,1.40004,0.72955,1.4218,0.0004952,0.0004952,0.0004952
78,6100.76,1.16624,0.68804,1.14708,0.86732,0.83469,0.88904,0.54688,1.39117,0.72881,1.41981,0.0004754,0.0004754,0.0004754
79,6179.51,1.1702,0.69535,1.14752,0.86768,0.83209,0.8816,0.53905,1.38502,0.73369,1.42569,0.0004556,0.0004556,0.0004556
80,6258.89,1.14788,0.67245,1.14078,0.86889,0.81839,0.87834,0.5438,1.38864,0.7148,1.42628,0.0004358,0.0004358,0.0004358
81,6337.11,1.15415,0.67441,1.14182,0.87603,0.83913,0.88167,0.5483,1.37778,0.70847,1.41989,0.000416,0.000416,0.000416
82,6415.44,1.14288,0.66935,1.13899,0.87984,0.84284,0.88915,0.55189,1.38431,0.71163,1.41278,0.0003962,0.0003962,0.0003962
83,6494.04,1.12594,0.65568,1.12785,0.90337,0.83798,0.8929,0.54712,1.37572,0.7002,1.41008,0.0003764,0.0003764,0.0003764
84,6572.52,1.14465,0.66117,1.13565,0.89551,0.8281,0.88754,0.55245,1.36409,0.70305,1.39764,0.0003566,0.0003566,0.0003566
85,6652.34,1.13792,0.66257,1.13253,0.89777,0.8281,0.88375,0.54971,1.37261,0.69939,1.41205,0.0003368,0.0003368,0.0003368
86,6731.49,1.12226,0.64493,1.1239,0.89053,0.84288,0.8909,0.54671,1.38157,0.70388,1.42656,0.000317,0.000317,0.000317
87,6811.3,1.12199,0.64531,1.12753,0.89503,0.83381,0.88958,0.54892,1.37363,0.68796,1.41095,0.0002972,0.0002972,0.0002972
88,6892.27,1.11893,0.6471,1.12573,0.89652,0.84168,0.8923,0.55186,1.3882,0.69993,1.42101,0.0002774,0.0002774,0.0002774
89,6971.61,1.10799,0.63788,1.12211,0.89326,0.83469,0.89425,0.55085,1.36788,0.7087,1.40392,0.0002576,0.0002576,0.0002576
90,7051.38,1.11109,0.64168,1.11884,0.88727,0.83935,0.89327,0.55376,1.36517,0.6923,1.40614,0.0002378,0.0002378,0.0002378
91,7129.31,1.08176,0.56927,1.11511,0.90507,0.82135,0.8926,0.54911,1.37037,0.70125,1.42183,0.000218,0.000218,0.000218
92,7206.11,1.05875,0.55274,1.10541,0.91847,0.80442,0.88952,0.54755,1.36894,0.69568,1.41502,0.0001982,0.0001982,0.0001982
93,7283.6,1.04955,0.54529,1.10025,0.87895,0.83935,0.89254,0.55009,1.36806,0.68961,1.41647,0.0001784,0.0001784,0.0001784
94,7360.66,1.03407,0.53854,1.09612,0.87118,0.84168,0.88991,0.55548,1.35002,0.67074,1.40298,0.0001586,0.0001586,0.0001586
95,7437.61,1.03086,0.53139,1.09055,0.88817,0.83353,0.8891,0.55508,1.35503,0.67135,1.40992,0.0001388,0.0001388,0.0001388
96,7513.12,1.02223,0.52855,1.09036,0.90238,0.81607,0.89146,0.55215,1.35829,0.67906,1.41815,0.000119,0.000119,0.000119
97,7588.66,1.011,0.51473,1.08094,0.87987,0.84284,0.89475,0.55595,1.35964,0.68629,1.41882,9.92e-05,9.92e-05,9.92e-05
98,7663.75,1.01299,0.51305,1.08117,0.8763,0.844,0.89347,0.55449,1.36089,0.68298,1.42639,7.94e-05,7.94e-05,7.94e-05
99,7738.97,1.00117,0.50902,1.07434,0.87492,0.83935,0.89198,0.55697,1.35652,0.68185,1.4157,5.96e-05,5.96e-05,5.96e-05
100,7813.24,1.00472,0.50894,1.07743,0.87297,0.84051,0.88989,0.5581,1.35172,0.67858,1.41431,3.98e-05,3.98e-05,3.98e-05
